PLAYER_SK,Player_Id,Player_Name,DOB,Batting_hand,Bowling_skill,Country_Name
184,185,M Vijay,4/1/1984,Right-hand bat,Right-arm offbreak,India
344,345,M Vohra,7/18/1993,Right-hand bat,Right-arm medium,India
388,389,M de Lange,10/13/1990,Right-hand bat,Right-arm fast,South Africa
259,260,MA Agarwal,2/16/1991,Right-hand bat,,India
71,72,MA Khote,4/22/1980,Right-hand bat,Right-arm medium,India
377,378,MA Starc,1/30/1990,Left-hand bat,Left-arm fast,Australia
443,444,MB Parmar,4/12/1988,Right-hand bat,Right-arm offbreak,India
162,163,MC Henriques,2/1/1987,Right-hand bat,Right-arm fast-medium,Australia
337,338,MC Juneja,9/12/1990,Right-hand bat,Right-arm offbreak,India
230,231,MD Mishra,2/9/1984,Right-hand bat,Right-arm offbreak,India
340,341,MDKJ Perera,8/17/1990,Left-hand bat,,Sri Lanka
18,19,MEK Hussey,5/27/1975,Left-hand bat,Right-arm medium,Australia
89,90,MF Maharoof,9/7/1984,Right-hand bat,Right-arm fast-medium,India
356,357,MG Johnson,11/2/1981,Left-hand bat,Left-arm fast,Australia
453,454,MG Neser,3/29/1990,Right-hand bat,Right-arm medium,Australia
327,328,MJ Clarke,4/2/1981,Right-hand bat,Slow left-arm orthodox,Australia
414,415,MJ Guptill,9/30/1986,Right-hand bat,Right-arm offbreak,New Zealand
483,484,MJ Henry,12/14/1991, Right-hand bat,Right-arm fast-medium,New Zealand
223,224,MJ Lumb,2/12/1980,Left-hand bat,Right-arm medium,England
402,403,MJ McClenaghan,6/11/1986,Left-hand bat,Left-arm fast-medium,New Zealand
95,96,MK Pandey,9/10/1989,Right-hand bat,Right-arm medium,India
86,87,MK Tiwary,11/14/1985,Right-hand bat,Legbreak googly,India
17,18,ML Hayden,10/29/1971,Left-hand bat,Right-arm medium,Australia
125,126,MM Patel,7/12/1983,Right-hand bat,Right-arm medium-fast,India
363,364,MM Sharma,9/18/1988,Right-hand bat,Right-arm medium,India
306,307,MN Samuels,2/5/1981,Right-hand bat,Right-arm offbreak,West Indies
175,176,MN van Wyk,3/20/1979,Right-hand bat,Slow left-arm orthodox,South Africa
408,409,MP Stoinis,8/16/1989,Right-hand bat,Right-arm medium,Australia
252,253,MR Marsh,10/20/1991,Right-hand bat,Right-arm medium,Australia
213,214,MS Bisla,12/27/1984,Right-hand bat,,India
19,20,MS Dhoni,7/7/1981,Right-hand bat,Right-arm medium,India
119,120,MS Gony,1/4/1984,Right-hand bat,Right-arm medium,India
270,271,MS Wade,12/26/1987,Left-hand bat,Right-arm medium,Australia
10,11,MV Boucher,12/3/1976,Right-hand bat,Right-arm medium,South Africa
235,236,Mandeep Singh,12/18/1991,Right-hand bat,Right-arm medium,India
194,195,Mashrafe Mortaza,10/5/1983,Right-hand bat,Right-arm fast-medium,Bangladesh
112,113,Misbah-ul-Haq,5/28/1974,Right-hand bat,Legbreak,Pakistan
201,202,Mohammad Ashraful,7/7/1984,Right-hand bat,Right-arm offbreak,Bangladesh
116,117,Mohammad Asif,12/20/1982,Left-hand bat,Right-arm fast-medium,Pakistan
4,5,Mohammad Hafeez,10/17/1980,Right-hand bat,Right-arm offbreak,Pakistan
484,485,Mohammad Nabi,1/1/1985, Right-hand bat,Right-arm offbreak,Afghanistan
346,347,Mohammed Shami,9/3/1990,Right-hand bat,Right-arm fast-medium,India
485,486,Mohammed Siraj,3/13/1994,Right-hand bat, Right-arm medium-fast,India
459,460,Mustafizur Rahman,9/6/1995,Left-hand bat,Left-arm fast-medium,Bangladesh
430,431,N Rana,12/27/1993,Left-hand bat,Right-arm offbreak,India
318,319,N Saini,10/28/1988,Right-hand bat,,India
486,487,NB Singh,9/8/1995,Right-hand bat,Right-arm medium,India
297,298,ND Doshi,10/6/1978,Right-hand bat,Slow left-arm orthodox,India
372,373,NJ Maddinson,12/21/1991,Left-hand bat,Slow left-arm orthodox,Australia
264,265,NJ Rimmington,11/11/1982,Right-hand bat,Right-arm fast-medium,Australia
137,138,NK Patel,3/26/1981,Left-hand bat,,India
280,281,NL McCullum,9/1/1980,Right-hand bat,Right-arm offbreak,New Zealand
279,280,NLTC Perera,4/3/1989,Left-hand bat,Right-arm medium-fast,Sri Lanka
370,371,NM Coulter-Nile,10/11/1987,Right-hand bat,Right-arm fast,Australia
418,419,NS Naik,11/9/1994,Right-hand bat,,India
182,183,NV Ojha,7/20/1983,Right-hand bat,,India
203,204,OA Shah,10/22/1978,Right-hand bat,Right-arm offbreak,England
434,435,P Amarnath,6/1/1982,Right-hand bat,Right-arm medium,India
332,333,P Awana,7/19/1986,Right-hand bat,Right-arm medium,India
465,466,P Dharmani,9/27/1974,Right-hand bat,,India
211,212,P Dogra,11/19/1984,Right-hand bat,Legbreak,India
13,14,P Kumar,10/2/1986,Right-hand bat,Right-arm medium,India
321,322,P Negi,1/6/1993,Left-hand bat,Slow left-arm orthodox,India
293,294,P Parameswaran,5/30/1985,Right-hand bat,Left-arm medium,India
446,447,P Prasanth,5/22/1985,Left-hand bat,Slow left-arm orthodox,India
411,412,P Sahu,8/21/1985,Right-hand bat,Legbreak googly,India
452,453,P Suyal,10/15/1989,Right-hand bat,Left-arm medium,India
16,17,PA Patel,3/9/1985,Left-hand bat,,India
330,331,PA Reddy,2/11/1991,Right-hand bat,Legbreak,India
166,167,PC Valthaty,12/7/1983,Right-hand bat,Right-arm medium,India
240,241,PD Collingwood,5/26/1976,Right-hand bat,Right-arm medium,England
404,405,PJ Cummins,5/8/1993,Right-hand bat,Right-arm fast,Australia
115,116,PJ Sangwan,11/5/1990,Right-hand bat,Left-arm medium,India
141,142,PM Sarvesh Kumar,4/26/1989,Right-hand bat,Right-arm medium,India
66,67,PP Chawla,12/24/1988,Left-hand bat,Legbreak,India
130,131,PP Ojha,9/5/1986,Left-hand bat,Slow left-arm orthodox,India
46,47,PR Shah,11/3/1987,Right-hand bat,,India
422,423,PSP Handscomb,4/26/1991,Right-hand bat,,Australia
369,370,PV Tambe,10/8/1971,Right-hand bat,Legbreak,India
74,75,Pankaj Singh,5/6/1985,Right-hand bat,Right-arm medium-fast,India
365,366,Parvez Rasool,2/13/1989,Right-hand bat,Right-arm offbreak,India
354,355,Q de Kock,12/17/1992,Left-hand bat,,South Africa
200,201,R Ashwin,9/17/1986,Right-hand bat,Right-arm offbreak,India
88,89,R Bhatia,10/22/1979,Right-hand bat,Right-arm medium-fast,India
163,164,R Bishnoi,10/8/1987,Right-hand bat,Right-arm medium-fast,India
355,356,R Dhawan,2/19/1990,Right-hand bat,Right-arm medium-fast,India
5,6,R Dravid,1/11/1973,Right-hand bat,Right-arm offbreak,India
209,210,R McLaren,2/9/1983,Left-hand bat,Right-arm medium-fast,South Africa
268,269,R Ninan,11/19/1985,Right-hand bat,Right-arm offbreak,India
348,349,R Rampaul,10/15/1984,Left-hand bat,Right-arm fast-medium,West Indies
208,209,R Sathish,1/14/1981,Right-hand bat,Right-arm medium,India
234,235,R Sharma,4/30/1987,Right-hand bat,Right-arm offbreak,India
341,342,R Shukla,8/28/1990,Right-hand bat,Right-arm medium,India
389,390,R Tewatia,5/20/1993,Left-hand bat,Legbreak,India
80,81,R Vinay Kumar,2/12/1984,Right-hand bat,Right-arm medium,India
34,35,RA Jadeja,12/6/1988,Left-hand bat,Slow left-arm orthodox,India
441,442,RA Shaikh,6/12/1985,Left-hand bat,Left-arm medium,India
487,488,RA Tripathi,3/2/1991, Right-hand bat,Right-arm medium,India
489,490,RD Chahar,8/4/1999,Right-hand bat,Legbreak googly,India
303,304,RE Levi,1/14/1988,Right-hand bat,Right-arm medium,South Africa
176,177,RE van der Merwe,12/31/1984,Right-hand bat,Slow left-arm orthodox,South Africa
398,399,RG More,2/2/1992,Right-hand bat,Right-arm medium,India
56,57,RG Sharma,4/30/1987,Right-hand bat,Right-arm offbreak,India
187,188,RJ Harris,10/11/1979,Right-hand bat,Right-arm fast,Australia
322,323,RJ Peterson,8/4/1979,Left-hand bat,Slow left-arm orthodox,South Africa
167,168,RJ Quiney,8/20/1982,Left-hand bat,Right-arm medium,Australia
283,284,RN ten Doeschate,6/30/1980,Right-hand bat,Right-arm medium-fast,Netherlands
60,61,RP Singh,12/6/1985,Right-hand bat,Left-arm fast-medium,India
316,317,RR Bhatkal,9/1/1985,Right-hand bat,Right-arm medium,India
439,440,RR Bose,2/27/1979,Right-hand bat,Right-arm fast-medium,India
419,420,RR Pant,10/4/1997,Left-hand bat,,India
152,153,RR Powar,5/20/1978,Right-hand bat,Right-arm offbreak,India
114,115,RR Raje,9/3/1986,Right-hand bat,Right-arm fast-medium,India
379,380,RR Rossouw,10/9/1989,Left-hand bat,Right-arm offbreak,South Africa
75,76,RR Sarwan,6/23/1980,Right-hand bat,Legbreak,West Indies
160,161,RS Bopara,5/4/1985,Right-hand bat,Right-arm medium,England
218,219,RS Gavaskar,2/20/1976,Left-hand bat,Slow left-arm orthodox,India
246,247,RS Sodhi,10/18/1980,Right-hand bat,Right-arm medium,India
2,3,RT Ponting,12/19/1974,Right-hand bat,Right-arm medium,Australia
258,259,RV Gomez,10/16/1985,Right-hand bat,Right-arm medium,India
466,467,RV Pawar,9/6/1979,Left-hand bat,Slow left-arm orthodox,India
45,46,RV Uthappa,11/11/1985,Right-hand bat,Right-arm medium,India
448,449,RW Price,6/12/1976,Right-hand bat,Slow left-arm orthodox,Zimbabwea
488,489,Rashid Khan,11/20/1998,Right-hand bat,Legbreak googly,Afghanistan
124,125,S Anirudha,4/14/1987,Right-hand bat,,India
269,270,S Aravind,4/8/1984,Left-hand bat,Left-arm medium-fast,India
451,452,S Badree,3/9/1981,Right-hand bat,Legbreak,West Indies
22,23,S Badrinath,8/30/1980,Right-hand bat,Right-arm offbreak,India
50,51,S Chanderpaul,8/16/1974,Left-hand bat,Legbreak,West Indies
41,42,S Dhawan,12/5/1985,Left-hand bat,Right-arm offbreak,India
387,388,S Gopal,9/4/1993,Right-hand bat,Legbreak,India
367,368,S Kaul,5/19/1990,Right-hand bat,Right-arm medium,India
431,432,S Kaushik,9/7/1995,Right-hand bat,Slow left-arm chinaman,India
221,222,S Ladda,7/10/1986,Right-hand bat,Legbreak,India
292,293,S Nadeem,8/12/1989,Right-hand bat,Slow left-arm orthodox,India
225,226,S Narwal,4/16/1982,Left-hand bat,Right-arm medium,India
300,301,S Rana,9/18/1984,Right-hand bat,Right-arm medium-fast,India
277,278,S Randiv,1/30/1985,Right-hand bat,Right-arm offbreak,Sri Lanka
64,65,S Sohal,11/10/1987,Right-hand bat,Legbreak,India
76,77,S Sreesanth,2/6/1983,Right-hand bat,Right-arm fast-medium,India
248,249,S Sriram,2/21/1976,Left-hand bat,Slow left-arm orthodox,India
217,218,S Tyagi,9/17/1987,Right-hand bat,Right-arm medium,India
107,108,S Vidyut,12/3/1981,Left-hand bat,Slow left-arm orthodox,India
396,397,SA Abbott,2/29/1992,Right-hand bat,Right-arm fast-medium,New Zealand
100,101,SA Asnodkar,3/29/1984,Right-hand bat,Right-arm offbreak,India
307,308,SA Yadav,9/14/1990,Right-hand bat,Right-arm offbreak,India
58,59,SB Bangar,10/11/1972,Right-hand bat,Right-arm medium-fast,India
185,186,SB Jakati,11/27/1980,Left-hand bat,Slow left-arm orthodox,India
15,16,SB Joshi,6/6/1970,Left-hand bat,Slow left-arm orthodox,India
57,58,SB Styris,7/10/1975,Right-hand bat,Right-arm medium,New Zealand
272,273,SB Wagh,10/9/1988,Left-hand bat,Left-arm medium-fast,India
0,1,SC Ganguly,7/8/1972,Left-hand bat,Right-arm medium,India
147,148,SD Chitnis,5/6/1987,Right-hand bat,Right-arm offbreak,India
219,220,SE Bond,6/7/1975,Right-hand bat,Right-arm fast,New Zealand
99,100,SE Marsh,7/9/1983,Left-hand bat,Slow left-arm orthodox,Australia
233,234,SJ Srivastava,9/22/1981,Right-hand bat,Left-arm fast-medium,India
20,21,SK Raina,11/27/1986,Left-hand bat,Right-arm offbreak,India
38,39,SK Trivedi,9/4/1982,Right-hand bat,Right-arm medium,India
37,38,SK Warne,9/13/1969,Right-hand bat,Legbreak googly,Australia
193,194,SL Malinga,8/28/1983,Right-hand bat,Right-arm fast,Sri Lanka
463,464,SM Boland,4/11/1989,Right-hand bat,Right-arm fast-medium,Australia
183,184,SM Harwood,3/1/1974,Right-hand bat,Right-arm fast-medium,Australia
27,28,SM Katich,8/21/1975,Left-hand bat,Slow left-arm chinaman,Australia
48,49,SM Pollock,7/16/1973,Right-hand bat,Right-arm fast-medium,South Africa
351,352,SMSM Senanayake,2/9/1985,Right-hand bat,Right-arm offbreak,Sri Lanka
401,402,SN Khan,10/27/1997,Right-hand bat,Legbreak,India
405,406,SN Thakur,10/16/1991,Right-hand bat,Right-arm medium,India
106,107,SP Fleming,4/1/1973,Left-hand bat,,New Zealand
131,132,SP Goswami,5/18/1989,Left-hand bat,,India
490,491,SP Jackson,9/27/1986,Right-hand bat,,India
314,315,SP Narine,5/26/1988,Left-hand bat,Right-arm offbreak,West Indies
305,306,SPD Smith,6/2/1989,Right-hand bat,Legbreak googly,India
132,133,SR Tendulkar,4/24/1973,Right-hand bat,Right-arm offbreak,India
31,32,SR Watson,6/17/1981,Right-hand bat,Right-arm fast-medium,Australia
491,492,SS Agarwal,11/21/1993,Right-hand bat,Legbreak googly,India
392,393,SS Iyer,12/6/1994,Right-hand bat,Legbreak googly,India
447,448,SS Mundhe,10/27/1988,Right-hand bat,Right-arm medium,India
440,441,SS Sarkar,12/15/1984,Right-hand bat,Right-arm medium,India
199,200,SS Shaikh,1/18/1987,Right-hand bat,Right-arm medium,India
78,79,SS Tiwary,12/30/1989,Left-hand bat,,India
43,44,ST Jayasuriya,6/30/1969,Left-hand bat,Slow left-arm orthodox,Sri Lanka
254,255,STR Binny,6/3/1984,Right-hand bat,Right-arm medium,India
350,351,SV Samson,11/11/1994,Right-hand bat,,India
420,421,SW Billings,6/15/1991,Right-hand bat,,England
237,238,SW Tait,2/22/1983,Right-hand bat,Right-arm fast,Australia
368,369,Sachin Baby,12/18/1988,Left-hand bat,Right-arm offbreak,India
102,103,Salman Butt,10/7/1984,Left-hand bat,Right-arm offbreak,Pakistan
366,367,Sandeep Sharma,5/18/1993,Right-hand bat,Right-arm medium,India
69,70,Shahid Afridi,3/1/1980,Right-hand bat,Legbreak googly,Pakistan
275,276,Shakib Al Hasan,3/24/1987,Left-hand bat,Slow left-arm orthodox,Bangladesh
380,381,Shivam Sharma,9/9/1993,Right-hand bat,Right-arm offbreak,India
178,179,Shoaib Ahmed,8/17/1990,Right-hand bat,Right-arm fast-medium,Pakistan
143,144,Shoaib Akhtar,8/13/1975,Right-hand bat,Right-arm fast,Pakistan
85,86,Shoaib Malik,2/1/1982,Right-hand bat,Right-arm offbreak,Pakistan
101,102,Sohail Tanvir,12/12/1984,Left-hand bat,Left-arm medium-fast,Pakistan
336,337,Sunny Gupta,9/27/1988,Right-hand bat,Right-arm offbreak,India
263,264,Sunny Singh,12/18/1986,Right-hand bat,Right-arm medium-fast,India
423,424,Swapnil Singh,1/22/1991,Right-hand bat,Slow left-arm orthodox,India
158,159,T Henderson,8/1/1974,Right-hand bat,Right-arm fast-medium,South Africa
29,30,T Kohli,12/17/1988,Right-hand bat,Right-arm medium,India
468,469,T Mishra,12/22/1986,Right-hand bat,Right-arm fast-medium,India
492,493,T Natarajan,5/27/1991,Left-hand bat,Left-arm medium,India
462,463,T Shamsi,2/18/1990,Right-hand bat,Slow left-arm chinaman,South Africa
128,129,T Taibu,5/14/1983,Right-hand bat,Right-arm medium,Zimbabwea
155,156,T Thushara,3/1/1981,Left-hand bat,Left-arm fast-medium,Sri Lanka
457,458,TA Boult,7/22/1989,Right-hand bat,Left-arm fast-medium,New Zealand
271,272,TD Paine,12/8/1984,Right-hand bat,Right-arm medium,Australia
376,377,TG Southee,12/11/1988,Right-hand bat,Right-arm medium-fast,New Zealand
177,178,TL Suman,12/15/1983,Right-hand bat,Right-arm offbreak,India
134,135,TM Dilshan,10/14/1976,Right-hand bat,Right-arm offbreak,Sri Lanka
416,417,TM Head,12/29/1993,Left-hand bat,Right-arm offbreak,Australia
91,92,TM Srivastava,11/7/1989,Left-hand bat,Right-arm medium,India
449,450,TP Sudhindra,4/24/1984,Left-hand bat,Right-arm fast,India
284,285,TR Birt,12/9/1981,Left-hand bat,Right-arm medium,Australia
494,495,TS Mills,8/12/1992,Right-hand bat, Left-arm fast,England
493,494,Tejas Baroka,2/1/1996,Right-hand bat,Legbreak googly,India
133,134,U Kaul,12/2/1987,Left-hand bat,,India
364,365,UA Birla,11/17/1989,Right-hand bat,Right-arm medium,India
261,262,UBT Chand,3/26/1993,Right-hand bat,Right-arm offbreak,India
425,426,UT Khawaja,12/18/1986,Left-hand bat,Right-arm medium,Australia
231,232,UT Yadav,10/25/1987,Right-hand bat,Right-arm fast-medium,India
104,105,Umar Gul,4/14/1984,Right-hand bat,Right-arm fast-medium,Pakistan
7,8,V Kohli,11/5/1988,Right-hand bat,Right-arm medium,India
325,326,V Pratap Singh,5/3/1992,Right-hand bat,Right-arm medium,India
40,41,V Sehwag,10/20/1978,Right-hand bat,Right-arm offbreak,India
454,455,V Shankar,1/26/1991,Right-hand bat,Right-arm medium,India
383,384,VH Zol,11/23/1994,Left-hand bat,Right-arm offbreak,India
295,296,VR Aaron,10/29/1989,Right-hand bat,Right-arm fast,India
77,78,VRV Singh,9/17/1984,Right-hand bat,Right-arm medium-fast,India
242,243,VS Malik,5/9/1983,Right-hand bat,Right-arm medium,India
149,150,VS Yeligati,4/23/1985,Right-hand bat,Right-arm offbreak,India
54,55,VVS Laxman,11/1/1974,Right-hand bat,Right-arm offbreak,India
90,91,VY Mahesh,12/21/1987,Right-hand bat,Right-arm medium-fast,India
495,496,Vishnu Vinod,12/2/1993,Right-hand bat,,India
6,7,W Jaffer,2/16/1978,Right-hand bat,Right-arm offbreak,India
67,68,WA Mota,9/20/1981,Right-hand bat,Right-arm medium,India
266,267,WD Parnell,7/30/1989,Left-hand bat,Left-arm medium-fast,South Africa
61,62,WP Saha,10/24/1984,Right-hand bat,,India
59,60,WPUJC Vaas,1/27/1974,Left-hand bat,Left-arm fast-medium,Sri Lanka
496,497,Washington Sundar,10/5/1999, Left-hand bat, Right-arm offbreak,India
360,361,X Thalaivan Sargunam,5/15/1985,Right-hand bat,Right-arm offbreak,India
299,300,Y Gnaneswara Rao,8/25/1984,Right-hand bat,Right-arm medium,India
198,199,Y Nagar,1/6/1990,Right-hand bat,Right-arm offbreak,India
53,54,Y Venugopal Rao,2/26/1982,Right-hand bat,Right-arm offbreak,India
214,215,YA Abdulla,1/17/1983,Left-hand bat,Left-arm fast-medium,India
30,31,YK Pathan,11/17/1982,Right-hand bat,Right-arm offbreak,India
381,382,YS Chahal,7/23/1990,Right-hand bat,Legbreak googly,India
113,114,YV Takawale,11/5/1984,Right-hand bat,,India
169,170,Yashpal Singh,11/27/1981,Right-hand bat,Right-arm medium,India
140,141,Younis Khan,11/29/1977,Right-hand bat,Right-arm medium,Pakistan
26,27,Yuvraj Singh,12/12/1981,Left-hand bat,Slow left-arm orthodox,India
14,15,Z Khan,10/7/1978,Right-hand bat,Left-arm fast-medium,India
